product_titles,min_salaries,annual_fees,rates,salary_transfers,features,details,cashback,discounts,reward_point,shopping,dining,golf_benefits,travel_benefits
ADCB - Betaqti Credit Card (exclusively for UAE Nationals),"AED 5,000","AED 2,100",2.5%,No,"Discounts / Vouchers / Offers, Airport Lounge Access, Cinema Offers, Travel Benefits, No Salary Transfer, Free Travel Insurance","Features
Luxurious Cinema Experience
Fitness Center Access
Experience Yas Island Parks
Concierge Service
Chauffer Offer
Premium Hotel Benefits
Global Airport Lounge Access
Hertz President's Circle Status
Complimentary Hotel Nights
Avis Rent a Car Benefits
Travel Insurance",Complimentary Hotel Nights,Complimentary Hotel Nights,Complimentary Hotel Nights,Global Airport Lounge Access,Luxurious Cinema Experience Fitness Center Access Experience Yas Island Parks Concierge Service Chauffer Offer Premium Hotel Benefits Global Airport Lounge Access Hertz President's Circle Status Complimentary Hotel Nights Avis Rent a Car Benefits Travel Insurance,Golf benefits include:,Luxurious Cinema Experience Fitness Center Access Experience Yas Island Parks Concierge Service Chauffer Offer Premium Hotel Benefits Global Airport Lounge Access Hertz President's Circle Status Complimentary Hotel Nights Avis Rent a Car Benefits Travel Insurance
CartNet Credit Card,"AED 5,000",AED 0,3.33%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Cinema Offers, Free Supplementary Cards, Travel Benefits, Free for Life, No Salary Transfer","Features
CartNet program is simply based off a tree concept where a client can refer another potential client.
The rate for Easy Cash & Balance Transfer starts from 1.25%.
WE ARE GOING PAPERLESS!
Priceless Cities is a unique
CREDIT SHIELD",The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,1.25%,a customer can refer another potential client,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,a unique CREDIT SHIELD,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD
FAB - Abu Dhabi Titanium Credit Card,"AED 5,000",AED 0,3.75%,No,"Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, No Salary Transfer","ABU DHABI TITANIUM CREDIT CARD
Your chance to win an Audi Q5 and luxury dream holidays

Rent with Avis and get a complimentary upgrade, worldwide
20% off 3 rides every month with Careem
Access to airport lounges across the Middle East
Spend and WIN cash prizes
Draw month Qualifying spend period Criteria(Based on retail spend) Total winners per draw Maximum winning amount per winner (AED)
Every July January – June (6 months) Cumulative retail spend of AED 25,000 within 6 months 20 25,000
Every January January – December (previous year) Annual retail spend of AED 50,000 and above 20 50,000
Annual retail spend between AED 25,000 and AED 50,000 100 1,000

TRAVEL BENEFITS
Experience a better way to travel
Get exclusive travel benefits when you use your Abu Dhabi Titanium Credit Card for purchases
LOUNGE ACCESS
Travel should always feel like a privilege, and with access to some regional airport lounges it sure does. As a FAB Titanium cardholder you receive:
- Complimentary access to over 10 VIP lounges in UAE, KSA, Jordan, Kuwait and Egypt
- Access to business facilities – email, Internet, phones, fax machines, and conference space in some lounges
- Complimentary refreshments and snacks
AVIS CAR RENTAL DISCOUNTS
Whether you are traveling with your family or on a business trip, enjoy exclusive benefits with Avis. With your FAB Titanium Credit Card, you can now enjoy access to:
- 15% off your next car rental across Europe, the Middle East, Africa and Asia
- 12% off your next car rental in the United States and Canada
- A complimentary upgrade with every rental, worldwide
LIFESTYLE BENEFITS
Bring some luxury into your lifestyle
Never miss a favorite movie, with special discounts on cinema tickets
DISCOUNTED CHAUFFEUR RIDES WITH CAREEM
Now when you travel across countries in the Middle East with your FAB Titanium credit card,
- Your first ride free (for new Careem customers only)
- 20% off 3 rides every month
MASTERCARD BUY 1 GET 1 OFFERS
Hundreds of complimentary offers throughout Middle East & Africa across fine dining, premium spas or activities such as:
- Complimentary main menu item when one main menu item is purchased
- 600+ offers available across multiple countries
- Unlimited redemptions / usage on all offers
SHOP SMART
Get up to 10% cashback all year round at leading global online stores using your FAB Credit Card and SHOP SMART through the FAB Mobile app.
FAB REWARDS
Rewarding in every way
The all-new Rewards on the FAB Mobile app
Earn up to 2.5 FAB Rewards for every AED 1 you spend
25% extra FAB Rewards for your spending in Abu Dhabi
Enjoy instant redemption at your fingertips and easily choose from an extensive selection of Rewards such as shopping, cashback, paying your utility bills, dining out or booking your next holiday

Additional Information",up to 10% cashback all year round at leading global online stores using your FAB Credit Card and SHOP SMART through the FAB Mobile app,Avis Car Rental Discounts,Earn up to 2.5 FAB Rewards for every AED 1 you spend 25% extra FAB Rewards for your spending in Abu Dhabi,up to 10% cashback all year round at leading global online stores using your FAB Credit Card and SHOP SMART through the FAB Mobile app.,Complimentary main menu item when one main menu item is purchased,Complimentary main menu item when one main menu item is purchased,"LOUNGE ACCESS Travel should always feel like a privilege, and with access to some regional airport lounges it sure does. As a FAB Titanium cardholder you receive: - Complimentary access to over 10 VIP lounges in UAE, KSA, Jordan, Kuwait and"
Citibank - Citi Simplicity,"AED 5,000",AED 0,3.5%,No,"Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Free Supplementary Cards, No Salary Transfer","Features
No annual fee, late payment fee, cash advance fee or overlimit fee- ever
Access to select airport lounges across the Middle East with MasterCard Travel Pass app
20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout.
PayLite: turn any big purchases into small payments
Complimentary supplementary cards for your family members",20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,Access to select airport lounges across the Middle East with MasterCard Travel Pass app,Access to select airport lounges across the Middle East with MasterCard Travel Pass app 20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Com
Citibank - Emirates-Citibank Ultimate,"AED 18,000",AED 800,3.25%,No,"Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, Travel Benefits, No Salary Transfer, Free Travel Insurance","Features
Earn up to 1.25 Skywards Miles per USD
Convert Skywards miles into Reward Flights and Business Class upgrades with Emirates
Complimentary Valet Parking once a month with Valtrans
Complimentary golf once a month at some of the best golf courses in the UAE
Unlimited access to 1,100+ lounges worldwide (+guest) with MasterCard Travel Pass app
6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Careem app.
‘Buy 1 Get 1 free’ movie tickets at VOX cinemas
Get access to hundreds of Buy 1 Get 1 offer with the free Mastercard® priceless specials app
Fast, safe and effortless purchases, with Apple Pay & Google Pay
Complimentary Marhaba Bronze Meet & Greet service once a year at Dubai International Airport.
0% interest for 3 months easy instalment plan on Emirates tickets purchased through www.emirates.ae
Complimentary International Concierge Service
Complimentary Travel Insurance
Citi World Privileges: Enjoy travel, dining and entertainment discounts locally and across 95 countries""",Earn up to 1.25 Skywards Miles per USD,'Buy 1 Get 1 free' movie tickets at VOX cinemas,Earn up to 1.25 Skywards Miles per USD,‘Buy 1 Get 1 free’ movie tickets at VOX cinemas,‘Buy 1 Get 1 free’ movie tickets at VOX cinemas,Complimentary golf once a month at some of the best golf courses in the UAE,Earn up to 1.25 Skywards Miles per USD Convert Skywards miles into Reward Flights and Business Class upgrades with Emirates Complimentary Valet Parking once a month with Valtrans Complimentary golf once a month at some of the best golf courses in the UAE Unlimited access
Emirates NBD - Go4it Gold Credit Card,"AED 6,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Cinema Offers, No Salary Transfer","Features
Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days)
Plus Points earning cap per statement is applicable
Convert your Points to Frequent Flyer Miles or cashback
Use your card like a Nol card on the Dubai Metro, RTA parking meters, busses and water bus stations and get a RTA monthly pass
Enjoy free rides on Dubai Ferry",Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable,,5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or,5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or
CBI Rewards Platinum Credit Card,"AED 15,000",AED 0,3.45%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Free Supplementary Cards, Free for Life, No Salary Transfer","Features
100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*
Complimentary airport lounge access
Priceless Arabia: Exclusive Offers for MasterCard cardholders. A unique collection of lifestyle experiences
Free supplementary cards for family members
Credit shield
Free SMS alerts on all your credit card transactions","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*",,"100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE* Complimentary airport lounge access","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*",a free golf membership,"100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE* Complimentary airport lounge access"
Standard Chartered Bank - Cashback Credit Card,"AED 8,000",AED 525,3.45%,No,"Cash Back, Airport Lounge Access, No Salary Transfer","Features
VIP Guest Status Over 900+ international properties to enjoy VIP guest status
Supported by Apple Pay, Samsung Pay, Google Pay and Fitbit Pay
Buy 1 Get 1 at Costa Coffee
Dine and Fly With DragonPass* Enjoy exclusive discounts of up to 20% at over 200 airport restaurants around the world with DragonPass.
25% off for YQ’s Specialist Airport Assist Services* Ease your trip at 450+ destinations
Medical and Travel Insurance*
Visa Concierge Service*
Buyers Protection*
Control Your Card From the SC Mobile App and Online Banking",Buy 1 Get 1 at Costa Coffee Dine and Fly With DragonPass* Enjoy exclusive discounts of up to 20% at over 200 airport restaurants around the world with DragonPass. 25% off for YQ’s Specialist Airport Assist Services* Ease your trip at 450+ destinations,Buy 1 Get 1 at Costa Coffee Dine and Fly With DragonPass* Enjoy exclusive discounts of up to 20% at over 200 airport restaurants around the world with DragonPass. 25% off for YQ’s Specialist Airport Assist Services* Ease your trip at 450+ destinations,Buy 1 Get 1 at Costa Coffee Dine and Fly With DragonPass* Enjoy exclusive discounts of up to 20% at over 200 airport restaurants around the world with DragonPass. 25% off for YQ’s Specialist Airport Assist Services* Ease your trip at 450+ destinations,Buy 1 Get 1 at Costa Coffee Dine and Fly With DragonPass* Enjoy exclusive discounts of up to 20% at over 200 airport restaurants around the world with DragonPass. 25% off for YQ’s Specialist Airport Assist Services* Ease your trip at 450+ destinations,Buy 1 Get 1 at Costa Coffee,Golf benefits,Enjoy exclusive discounts of up to 20% at over 200 airport restaurants around the world with DragonPass. 25% off for YQ’s Specialist Airport Assist Services* Ease your trip at 450+ destinations Medical and Travel Insurance* Visa Concierge Service* Buyers Protection* Control Your Card From
FAB - Al Futtaim World Elite Credit Card,"AED 40,000",AED 0,1.66%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Cinema Offers, Travel Benefits, No Salary Transfer, Free Travel Insurance","AL-FUTTAIM WORLD ELITE CREDIT CARD
5% Al-Futtaim FAB Rewards cashback for every AED 1 spent

EXCLUSIVE BENEFITS
Benefits that take you further
Your FAB Al-Futtaim World Elite Credit Card offers exclusive benefits
Enjoy 0% Easy Payment Plan (EPP) at Al-Futtaim showrooms and stores
Complimentary 0% balance transfer for up to 12 months
No Annual Fees
LIFESTYLE BENEFITS
Achieve the life you aspire to
Enjoy a luxury lifestyle with our range of exclusive offers
MOVIE TICKETS FROM JUST AED 15
A great offering for all movie buffs! FAB Al-Futtaim World Elite cardholders can enjoy up to 8 movie tickets per month from AED 15 during weekdays and AED 20 during weekends at Reel Cinemas, Cine Royal and Oscar Cinema.
SHOP SMART
Get up to 10% cashback all year round at leading global online stores using your FAB Credit Card and SHOP SMART through the FAB Mobile app.
AL-FUTTAIM SHOWROOMS AND STORES
Get exclusive offers from Al-Futtaim showrooms and stores. Explore the world of Al Futtaim.
MASTERCARD OFFERS
World Elite MasterCard® cardholders get access to curated dining benefits through Priceless Arabia. For more details visit Priceless Arabia.
Ensure your stay is truly rewarding at more than 200 participating Marriott Bonvoy hotels across Middle East And Africa. Learn more.
Call the 24/7 World Elite MasterCard® Concierge* on Toll Free 80004448837 (within the UAE) or +13128435357 to take advantage of numerous privileges including the above.
For complete list of exclusive MasterCard Lifestyle Offers visit MasterCard’s World Elite.
*Service offered and supported by MasterCard are subject to Terms and Conditions and may change without prior notice. Learn more about a host of other benefits & latest updates at MasterCard World Elite.
TRAVEL BENEFITS
Experience a better way to travel
Enjoy free luxury travel benefits when booking your flights on your Al-Futtaim World Elite Credit Card
AIRPORT TRANSFERS
Al-Futtaim World Elite credit card holders can enjoy eight airport transfers per year from just AED 40 (within city service) or AED 100 (inter city service). To book this service, please click here or call 04-8713411 / 04-4328583. Learn more. Sorry, this benefit is on hold until further notice.
MEET AND GREET SERVICE
Get welcomed at the airport in style! FAB Al-Futtaim World Elite Credit Cardholders can enjoy 8 Meet & Greet services per annum from AED 40 (individual booking) or AED 100 (family booking). To book this service, please call FAB Call Centre on 600 52 5522 or send completed booking form to Meetandgreet@bankfab.com. Learn more.
AIRPORT LOUNGE ACCESS*
Sit back and relax with VIP access to over 1000+ airport lounges across the world. Learn more.
MASTER CARD OFFERS*
Access the World Elite Air Programme to enjoy upgrades, savings and discount on selected airlines. You can also take advantage of complimentary room upgrades, late check-outs, daily breakfast for two, and more.
REWARDS AND OFFERS
Own the card that gives you more
Exchange your Al-Futtaim FAB Rewards for an unmatched range of rewards
UP TO 10 AL-FUTTAIM FAB REWARDS FOR YOUR PURCHASES
Earn ten Al-Futtaim Rewards for every Dirham spent at Al-Futtaim’s stores, showrooms or schools, and two Al Futtaim FAB Rewards for every Dirham spent elsewhere. Learn more.
REDEEM YOUR AL-FUTTAIM FAB REWARDS FOR A HOST OF BENEFITS
Redeem your Al-Futtaim FAB Rewards for Etihad Guest Miles, Skywards Miles from Emirates, e-vouchers or cashback credited to your Al-Futtaim Credit Card. Your Al-Futtaim FAB Rewards can also be used at participating Al-Futtaim stores at the check-out counter to pay for your purchases. Learn more.
EXCLUSIVE AL-FUTTAIM OFFERS
Get exclusive offers from Al-Futtaim brands. Learn more.
PROTECTION
We’ve got your purchases covered
Buy with confidence thanks to our range of protection benefits
CREDIT SHIELD
Credit Shield Plus pays off your credit card balance if something happens that means you can’t make your payments. Learn more.
TRAVEL ACCIDENT INSURANCE*
Get complimentary travel accident insurance of up to USD 500,000. Learn more.
TRAVEL INCONVENIENCE INSURANCE*
Travel doesn't always go as planned. If you encounter an obstacle, you shouldn't have to face the inconvenience alone. Whether your luggage goes amiss or flight delays interrupt your plans, Al-Futtaim World Elite card can compensate. Learn more.
LOST AND STOLEN CARD*
If your card is stolen or lost, call the hotline to block your card immediately and receive a temporary replacement card within one business day.
RENTAL COLLISION AND LOSS DAMAGE WAIVER*
Enjoy rental vehicle collision cover and loss damage waiver of up to USD 50,000. Learn more.
OTHER PROTECTION SERVICES*
For further details on Protection Services please visit MasterCard World Elite.
*Service offered and supported by MasterCard are subject to Terms and Conditions and may change without prior notice. Learn more about a host of other benefits and latest updates at MasterCard World Elite.",5% Al-Futtaim FAB Rewards cashback for every AED 1 spent,5% Al-Futtaim FAB Rewards cashback for every AED 1 spent,"Earn ten Al-Futtaim Rewards for every Dirham spent at Al-Futtaim’s stores, showrooms or schools, and two Al Futtaim FAB Rewards for every Dirham spent elsewhere.",Get up to 10% cashback all year round at leading global online stores using your FAB Credit Card and SHOP SMART through the FAB Mobile app,Priceless Arabia,5% Al-Futtaim FAB Rewards cashback for every AED 1 spent,Enjoy free luxury travel benefits when booking your flights on your Al-Futtaim World Elite Credit Card
Emirates NBD Skywards Signature Card,"AED 15,000",AED 735,3.25%,Yes,"Balance Transfer, Airport Lounge Access, Travel Benefits","Features
Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)
Earn up to 40,000 bonus Skywards Miles
Up to 1.5 Skywards Miles per USD equivalent spent
Unlimited access to over 1,000 premium lounges in over 300 cities via LoungeKey
Complimentary access to top golfing courses across the UAE
Concierge services to take care of your time-consuming errands
Valet Parking at selected locations in Abu Dhabi","Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)","1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends","Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)","1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends","1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends",Complimentary access to top golfing courses across the UAE,"Earn Skywards Miles on spends equivalent per USD 1 (1.5 Miles on Emirates, flydubai, duty free, online food delivery and car booking apps + 1 Mile on international spends + 0.75 Miles on domestic spends)"
ADCB - Betaqti Credit Card (exclusively for UAE Nationals),"AED 5,000","AED 2,100",2.5%,No,"Discounts / Vouchers / Offers, Airport Lounge Access, Cinema Offers, Travel Benefits, No Salary Transfer, Free Travel Insurance","Features
Luxurious Cinema Experience
Fitness Center Access
Experience Yas Island Parks
Concierge Service
Chauffer Offer
Premium Hotel Benefits
Global Airport Lounge Access
Hertz President's Circle Status
Complimentary Hotel Nights
Avis Rent a Car Benefits
Travel Insurance",Complimentary Hotel Nights,Complimentary Hotel Nights,Complimentary Hotel Nights,Global Airport Lounge Access,Luxurious Cinema Experience Fitness Center Access Experience Yas Island Parks Concierge Service Chauffer Offer Premium Hotel Benefits Global Airport Lounge Access Hertz President's Circle Status Complimentary Hotel Nights Avis Rent a Car Benefits Travel Insurance,Golf benefits include:,Luxurious Cinema Experience Fitness Center Access Experience Yas Island Parks Concierge Service Chauffer Offer Premium Hotel Benefits Global Airport Lounge Access Hertz President's Circle Status Complimentary Hotel Nights Avis Rent a Car Benefits Travel Insurance
CartNet Credit Card,"AED 5,000",AED 0,3.33%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Cinema Offers, Free Supplementary Cards, Travel Benefits, Free for Life, No Salary Transfer","Features
CartNet program is simply based off a tree concept where a client can refer another potential client.
The rate for Easy Cash & Balance Transfer starts from 1.25%.
WE ARE GOING PAPERLESS!
Priceless Cities is a unique
CREDIT SHIELD",The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,1.25%,a customer can refer another potential client,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,a unique CREDIT SHIELD,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD,The rate for Easy Cash & Balance Transfer starts from 1.25%. WE ARE GOING PAPERLESS! Priceless Cities is a unique CREDIT SHIELD
Citibank - Emirates-Citibank Ultima,"AED 36,750","AED 3,000",3.25%,No,"Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, Free Supplementary Cards, No Salary Transfer","Features
25,000 Sign-up bonus Skywards Miles for the 1st year when you apply for the card & 10,000 Bonus Miles annually upon renewal
Earn up to 2.5 Skywards Miles per $ spend
Exclusive 100% metal card + Skywards Silver Membership
Unlimited golf on weekdays and 1 free round on weekends per month
Complimentary Valet Parking twice a month with Valtrans
Unlimited access to 1,100+ lounges worldwide (+guest) with MasterCard Travel Pass app
Insurance cover for online purchases up to $1,000 per year, at no additional cost
6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Careem app.
‘Buy 1 Get 1 free’ movie tickets at VOX & REEL cinemas
Get access to hundreds of Buy 1 Get 1 offer with the free Mastercard® priceless specials app
Fast, safe and effortless purchases, with Apple Pay & Google Pay
Complimentary Silver Bronze Meet & Greet service once a year at Dubai International Airport.
Complimentary International Concierge Service
Complimentary Travel Insurance""
Offers
Get 25,000 welcome bonus Skywards Miles when you apply for the card and 10,000 Skywards Miles annually upon payment of annual fee
Citibank Terms & Conditions apply",Earn up to 2.5 Skywards Miles per $ spend,"25,000 Sign-up bonus Skywards Miles for the 1st year when you apply for the card",Earn up to 2.5 Skywards Miles per $ spend,Earn up to 2.5 Skywards Miles per $ spend,‘Buy 1 Get 1 free’ movie tickets at VOX & REEL cinemas,Unlimited golf on weekdays and 1 free round on weekends per month,"Unlimited golf on weekdays and 1 free round on weekends per month Complimentary Valet Parking twice a month with Valtrans Unlimited access to 1,100+ lounges worldwide (+guest) with MasterCard Travel Pass app Insurance cover for online purchases up to $1,000 per year, at no additional cost 6 complimentary airport"
Citibank - Citi Simplicity,"AED 5,000",AED 0,3.5%,No,"Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Free Supplementary Cards, No Salary Transfer","Features
No annual fee, late payment fee, cash advance fee or overlimit fee- ever
Access to select airport lounges across the Middle East with MasterCard Travel Pass app
20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout.
PayLite: turn any big purchases into small payments
Complimentary supplementary cards for your family members",20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Complimentary supplementary cards for your family members,20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout,Access to select airport lounges across the Middle East with MasterCard Travel Pass app,Access to select airport lounges across the Middle East with MasterCard Travel Pass app 20% instant discount (up to AED 14) on grocery and food orders twice a month on the Talabat app. Use promo code “MASTERCARD” at checkout. PayLite: turn any big purchases into small payments Com
Citibank - Emirates-Citibank Ultimate,"AED 18,000",AED 800,3.25%,No,"Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, Travel Benefits, No Salary Transfer, Free Travel Insurance","Features
Earn up to 1.25 Skywards Miles per USD
Convert Skywards miles into Reward Flights and Business Class upgrades with Emirates
Complimentary Valet Parking once a month with Valtrans
Complimentary golf once a month at some of the best golf courses in the UAE
Unlimited access to 1,100+ lounges worldwide (+guest) with MasterCard Travel Pass app
6 complimentary airport rides per year (up to AED 110 each) using code """"MAUAE6“ on the Careem app.
‘Buy 1 Get 1 free’ movie tickets at VOX cinemas
Get access to hundreds of Buy 1 Get 1 offer with the free Mastercard® priceless specials app
Fast, safe and effortless purchases, with Apple Pay & Google Pay
Complimentary Marhaba Bronze Meet & Greet service once a year at Dubai International Airport.
0% interest for 3 months easy instalment plan on Emirates tickets purchased through www.emirates.ae
Complimentary International Concierge Service
Complimentary Travel Insurance
Citi World Privileges: Enjoy travel, dining and entertainment discounts locally and across 95 countries""",Earn up to 1.25 Skywards Miles per USD,'Buy 1 Get 1 free' movie tickets at VOX cinemas,Earn up to 1.25 Skywards Miles per USD,‘Buy 1 Get 1 free’ movie tickets at VOX cinemas,‘Buy 1 Get 1 free’ movie tickets at VOX cinemas,Complimentary golf once a month at some of the best golf courses in the UAE,Earn up to 1.25 Skywards Miles per USD Convert Skywards miles into Reward Flights and Business Class upgrades with Emirates Complimentary Valet Parking once a month with Valtrans Complimentary golf once a month at some of the best golf courses in the UAE Unlimited access
Emirates NBD - Go4it Gold Credit Card,"AED 6,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Cinema Offers, No Salary Transfer","Features
Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days)
Plus Points earning cap per statement is applicable
Convert your Points to Frequent Flyer Miles or cashback
Use your card like a Nol card on the Dubai Metro, RTA parking meters, busses and water bus stations and get a RTA monthly pass
Enjoy free rides on Dubai Ferry",Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable,,5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or,5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or,Earn Plus Points on spends (5 points for every AED 400 spend on weekends + 4 points for every AED 400 spend on RTA + 1 points for every AED 400 spend on week days) Plus Points earning cap per statement is applicable Convert your Points to Frequent Flyer Miles or
CBI Rewards Platinum Credit Card,"AED 15,000",AED 0,3.45%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Free Supplementary Cards, Free for Life, No Salary Transfer","Features
100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*
Complimentary airport lounge access
Priceless Arabia: Exclusive Offers for MasterCard cardholders. A unique collection of lifestyle experiences
Free supplementary cards for family members
Credit shield
Free SMS alerts on all your credit card transactions","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*",,"100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE* Complimentary airport lounge access","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*",a free golf membership,"100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE* Complimentary airport lounge access"
